id,section,question,expect_pipeline,actual_pipeline,pass,rewrite_used,elapsed_ms,sources,note,answer_preview
32,H) Recommendation One-turn,recommend SUV under $45000 gasoline,CSV_METHOD,CSV_METHOD,True,False,2,https://www.toyota.com.kh/en/models/raize/raize.html#specifications | https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Based on your requirements, here are official matches:  - Raize ($26,800), seats=5, fuel=gasoline, body=SUV - YARIS CROSS GASOLINE ($37,500), seats=5, fuel=gasoline, body=SUV  Note: I assumed 5 seats. If you want 7 seats"
33,H) Recommendation One-turn,budget 40000 fuel gasoline body suv,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/raize/raize.html#specifications | https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Based on your requirements, here are official matches:  - Raize ($26,800), seats=5, fuel=gasoline, body=SUV - YARIS CROSS GASOLINE ($37,500), seats=5, fuel=gasoline, body=SUV  Note: I assumed 5 seats. If you want 7 seats"
34,H) Recommendation One-turn,budget 35000 body sedan fuel gasoline,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,"Based on your requirements, here are official matches:  - Vios ($33,900), seats=5, fuel=gasoline, body=Sedan  Note: I assumed 5 seats. If you want 7 seats, type: 7 seats. Sources: https://www.toyota.com.kh/en/models/vios"
35,H) Recommendation One-turn,budget 60000 body suv fuel diesel min seats 7,CSV_METHOD,CSV_METHOD,True,False,1,,,I couldn't find an official match with those constraints. [PIPELINE=CSV_METHOD]
36,I) Recommendation Multi-turn,recommend suv,SYSTEM,SYSTEM,True,True,0,,,"Sure — I can help. To recommend from our dataset, please tell me: - budget (USD) - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
37,I) Recommendation Multi-turn,budget 45000,SYSTEM,SYSTEM,True,True,2,,,"Sure — I can help. To recommend from our dataset, please tell me: - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
38,I) Recommendation Multi-turn,gasoline,SYSTEM,CSV_METHOD,False,False,1,https://www.toyota.com.kh/en/models/raize/raize.html#specifications | https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Based on your requirements, here are official matches:  - Raize ($26,800), seats=5, fuel=gasoline, body=SUV - YARIS CROSS GASOLINE ($37,500), seats=5, fuel=gasoline, body=SUV  Note: I assumed 5 seats. If you want 7 seats"
39,I) Recommendation Multi-turn,suv,CSV_METHOD,SYSTEM,False,True,0,,,"Sure — I can help. To recommend from our dataset, please tell me: - budget (USD) - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
40,I) Recommendation Multi-turn,both,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/raize/raize.html#specifications | https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,"if 2 candidates compare, otherwise list prices","Here’s a quick comparison (official dataset): Raize vs YARIS CROSS GASOLINE - Price: $26,800 vs $37,500 - Seats: 5 vs N/A - Fuel: gasoline vs gasoline - Body type: SUV vs SUV Sources: https://www.toyota.com.kh/en/models/"
41,J) Recommendation Pickup Multi-turn,recommend pickup,SYSTEM,SYSTEM,True,True,1,,,"Sure — I can help. To recommend from our dataset, please tell me: - budget (USD) - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
42,J) Recommendation Pickup Multi-turn,budget 50000,SYSTEM,SYSTEM,True,True,2,,,"Sure — I can help. To recommend from our dataset, please tell me: - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
43,J) Recommendation Pickup Multi-turn,diesel,SYSTEM,CSV_METHOD,False,False,1,https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-v-edition.html#specifications,,"Based on your requirements, here are official matches:  - Hilux Revo V-Edition ($40,900), seats=5, fuel=diesel, body=Pickup  Note: I assumed 5 seats. If you want 7 seats, type: 7 seats. Sources: https://www.toyota.com.kh"
44,J) Recommendation Pickup Multi-turn,pickup,CSV_METHOD,SYSTEM,False,True,0,,,"Sure — I can help. To recommend from our dataset, please tell me: - budget (USD) - fuel (Gasoline / Diesel / Hybrid / EV) (Seats is optional) [PIPELINE=SYSTEM]"
45,K) Multi-model Price,price of yaris cross and corolla cross gasoline,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,,"Sure — here are the official prices from our dataset:  COROLLA CROSS GASOLINE — Price (USD): $47,900 Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications [PIPEL"
46,K) Multi-model Price,price of yaris cross corolla cross vios,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,"Sure — here are the official prices from our dataset:  Vios — Price (USD): $33,900 Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications [PIPELINE=CSV_METHOD]"
47,L) Alias/Fuzzy,price of vigo,CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications,requires alias mapping,"Sure — here are the official prices from our dataset:  Wigo — Price (USD): $19,900 Sources: https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications [PIPELINE=CSV_METHOD]"
48,L) Alias/Fuzzy,price of viggo,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications,requires fuzzy mapping,"Sure — here are the official prices from our dataset:  Wigo — Price (USD): $19,900 Sources: https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications [PIPELINE=CSV_METHOD]"
49,L) Alias/Fuzzy,price of wigo,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications,,"Sure — here are the official prices from our dataset:  Wigo — Price (USD): $19,900 Sources: https://www.toyota.com.kh/en/models/wigo/wigo.html#specifications [PIPELINE=CSV_METHOD]"
50,M) Preowned RAG,Fortuner Legender preowned price year mileage,PREOWNED_RAG,PREOWNED_RAG,True,True,3196,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html,,"The pre-owned Fortuner Legender price range is between $51,900 and $63,300. The top listings include a 2023 model with 43,508 km for $57,900 and a 2025 model with only 4,233 km for $63,300. Sources: https://www.toyota.co"
51,M) Preowned RAG,Veloz preowned price,PREOWNED_RAG,PREOWNED_RAG,True,True,1951,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html,,"The pre-owned price of a Toyota Veloz ranges from $30,900 to $33,300. Sources: https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html, https://www.toyota.com.kh/en/toyota-certified-p"
52,M) Preowned RAG,Yaris Cross used price,PREOWNED_RAG,PREOWNED_RAG,True,True,2713,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CA-0914.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CD-0284.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BS-5711.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BP-7744.html,,"The used price of a Toyota Yaris Cross varies between $34,500 and $44,900. The current listings show prices starting from $34,500 for a 2022 model with high mileage, while the highest listed is $44,900 for a 2024 model w"
53,M) Preowned RAG,pre-owned corolla cross hybrid year mileage,PREOWNED_RAG,PREOWNED_RAG,True,True,3072,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BY-0075.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BP-7744.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BQ-1429.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BS-5711.html,,"If you're looking for a pre-owned Corolla Cross Hybrid with specific details, I recommend checking the top 5 available listings on our website. The current listings include models from 2022 to 2024 with mileage ranging f"
54,M) Preowned RAG,show me listings for raize preowned,PREOWNED_RAG,PREOWNED_RAG,True,True,2268,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Raize-PP-2BX-0611.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Raize-PP-2BT-9148.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html,,"You can find pre-owned listings for the Toyota Veloz PP on our website. Here are the top 5 available listings with prices starting at $23,300 and going up to $33,300. Sources: https://www.toyota.com.kh/en/toyota-certifie"
55,M) Preowned RAG,preowned plate number fortuner,PREOWNED_RAG,PREOWNED_RAG,True,True,2180,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html,,"If you're looking for a pre-owned Toyota Fortuner Legender PP, here are the top 5 available listings with their prices starting from $51,900 and going up to $67,200. Sources: https://www.toyota.com.kh/en/toyota-certified"
56,M) Preowned RAG,certified pre-owned veloz 2024 mileage,PREOWNED_RAG,PREOWNED_RAG,True,True,2569,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html,,"The Toyota Veloz PP is available with a mileage of 8,324 km in one of the top listings. Another option has a mileage of 30,832 km. The price range for these pre-owned listings is between $30,900 and $33,300. Sources: htt"
57,M) Preowned RAG,used fortuner legender,PREOWNED_RAG,PREOWNED_RAG,True,True,2169,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html,,"You're looking for a used Fortuner Legender PP. There are currently five pre-owned listings available in the top 5, with prices ranging from $51,900 to $63,300. Sources: https://www.toyota.com.kh/en/toyota-certified-pre-"
58,M) Preowned RAG,mileage of preowned veloz,PREOWNED_RAG,PREOWNED_RAG,True,True,2136,https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html | https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html,,"The mileage of the pre-owned Toyota Veloz ranges from 7,791 km to 30,832 km. The lowest mileage is 7,791 km and the highest is 30,832 km. Sources: https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Vel"
59,N) Official RAG,Explain Toyota Safety Sense on Corolla Cross in simple words,RAG,CSV_METHOD,False,False,2,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,,"COROLLA CROSS GASOLINE — Safety systems (official CSV): - ABS: Yes - Vehicle Stability Control (VSC): Yes - SRS Airbags: 7 (1 driver,1 knee, 1 front passenger, 2 side, 2 curtain shield) - Blind Spot Monitor (BSM): Yes - "
60,N) Official RAG,What colors are available for Yaris Cross HEV?,RAG,SYSTEM,False,True,0,,,"Sure — I can help. To recommend from our dataset, please tell me: - budget (USD) - body type (SUV / Sedan / Pickup / MPV / Bus) (Seats is optional) [PIPELINE=SYSTEM]"
61,N) Official RAG,Does Corolla Cross have ambient lighting and wireless charger?,RAG,CSV_METHOD,False,False,3,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,,Yes — COROLLA CROSS GASOLINE has Wireless charging (official specification). Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications [PIPELINE=CSV_METHOD]
62,N) Official RAG,What is the warranty for Yaris Cross in Cambodia?,RAG,RAG,True,True,1070,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Unfortunately, I couldn't find any warranty information for the Toyota Yaris Cross in Cambodia. Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications [PIPELINE=RAG]"
63,O) Non-answerable / Guardrail,does raize have sunroof panoramic and ventilated seat,SYSTEM,RAG,False,True,1461,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"The Toyota Raize does not have a panoramic sunroof, and the seating capacity is 5. The ventilated seats are also not mentioned as an option in the official text. Sources: https://www.toyota.com.kh/en/models/raize/raize.h"
64,O) Non-answerable / Guardrail,what is the 0-100 acceleration of vios,SYSTEM,CSV_METHOD,False,False,2,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,Yes — Vios has Cruise control (official specification). Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications [PIPELINE=CSV_METHOD]
65,O) Non-answerable / Guardrail,tell me the best car in cambodia overall,SYSTEM,RAG,False,True,1212,https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,"The Toyota Vios is a popular and reliable choice in Cambodia, offering features like Apple CarPlay and Android Auto, making it a great overall option for drivers. Sources: https://www.toyota.com.kh/en/models/vios/vios.ht"
66,P) Robustness,1) price of yaris cross,CSV_METHOD,CSV_METHOD,True,False,2,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,,"Sure — here are the official prices from our dataset:  YARIS CROSS GASOLINE — Price (USD): $37,500 Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications [PIPELINE=CS"
67,P) Robustness,"""specs of    fortuner    legender  """,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,,"Fortuner Legender — key specifications (official data): - Price (USD): $65,500 - Seats: 7 - Fuel: diesel - Body type: SUV - Engine type: 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC - Transmission: 6-speed automatic "
68,P) Robustness,(summary of raize),CSV_METHOD,CSV_METHOD,True,False,1,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,,"Raize — Safety systems (official CSV): - ABS: Yes - Vehicle Stability Control (VSC): Yes - SRS Airbags: 6 (1 driver, 1 front passenger, 2 side, 2 curtain shield) - Blind Spot Monitor (BSM): Yes - Reverse Camera: Yes - Pa"
69,P) Robustness,compare    veloz   versus   vios,CSV_METHOD,CSV_METHOD,True,False,0,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications | https://www.toyota.com.kh/en/models/vios/vios.html#specifications,,"Here’s a quick comparison (official dataset): Veloz vs Vios - Price: $35,900 vs $33,900 - Seats: 7 vs 5 - Fuel: gasoline vs gasoline - Body type: MVP vs Sedan Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manu"
