id,section,turn_group,user_text,expected_pipeline,actual_pipeline,pipeline_pass,technique,remark,answer_text,sources,sources_count,rewrite_used,answer_len,agent_score,agent_notes,has_refusal,has_question_back,has_numbers,has_sources_line
11,C) Compare,cmp1,compare,SYSTEM,SYSTEM,True,compare,ask for two models,"Which two Toyota models do you want to compare? Example: compare Veloz vs Vios
[PIPELINE=SYSTEM]",,0,False,96,10,,False,True,False,False
12,D) Reco slotfill,reco1,recommend suv,SYSTEM,SYSTEM,True,filter-slotfill,ask missing slots,"Sure — I can help. To recommend from our dataset, please tell me:
- budget (USD)
- fuel (Gasoline / Diesel / Hybrid / EV)
- body type (SUV / Sedan / Pickup / MPV / Bus)
(Seats is optional)
[PIPELINE=SYSTEM]",,0,False,206,10,,False,True,False,False
13,D) Reco slotfill,reco1,budget 45000,SYSTEM,SYSTEM,True,filter-slotfill,still missing fuel,"Tell me a model name and what you want (price, specs, feature, compare, or recommend).
[PIPELINE=SYSTEM]",,0,False,104,10,,False,False,False,False
14,D) Reco slotfill,reco1,gasoline,SYSTEM,SYSTEM,True,filter-slotfill,still missing body type,"Tell me a model name and what you want (price, specs, feature, compare, or recommend).
[PIPELINE=SYSTEM]",,0,False,104,10,,False,False,False,False
15,D) Reco slotfill,reco1,SUV,CSV_METHOD,SYSTEM,False,filter-slotfill,return filtered matches,"Tell me a model name and what you want (price, specs, feature, compare, or recommend).
[PIPELINE=SYSTEM]",,0,False,104,10,,False,False,False,False
16,E) Follow-up context,ctx1,price of Yaris Cross HEV,CSV_METHOD,CSV_METHOD,True,context-set,set last_model,"Sure — here are the official prices from our dataset:

Yaris Cross HEV — Price (USD): $43,500
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,211,10,,False,False,True,True
17,E) Follow-up context,ctx1,price of it,CSV_METHOD,CSV_METHOD,True,follow-up,use last_model; no ask model,"Sure — here are the official prices from our dataset:

Yaris Cross HEV — Price (USD): $43,500
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,211,10,,False,False,True,True
18,E) Follow-up context,ctx1,what about specs,CSV_METHOD,CSV_METHOD,True,follow-up,use last_model specs,"Yaris Cross HEV — key specifications (official data):
- Price (USD): $43,500
- Fuel: hybrid
- Body type: SUV
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,226,10,,False,False,True,True
19,E) Follow-up context,ctx1,does it have 360 camera,CSV_METHOD,CSV_METHOD,True,follow-up,use last_model feature,"Thanks. I don’t have 'camera_360' captured for Yaris Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,265,8,refusal without asking clarifying info/next step,True,False,True,True
20,F) Preowned,pre1,Fortuner Legender preowned price year mileage,PREOWNED_RAG,PREOWNED_RAG,True,semantic-preowned,listings bullets + range + sources,"Pre-owned dataset is not loaded. Please check preowned_master.csv path.
[PIPELINE=PREOWNED_RAG]",,0,True,95,10,,False,False,False,False
21,F) Preowned,pre1,Veloz pre-owned price,PREOWNED_RAG,PREOWNED_RAG,True,semantic-preowned,listings + sources,"Pre-owned dataset is not loaded. Please check preowned_master.csv path.
[PIPELINE=PREOWNED_RAG]",,0,True,95,10,,False,False,False,False
22,F) Preowned,pre1,show me listings for Raize preowned,PREOWNED_RAG,PREOWNED_RAG,True,semantic-preowned,table-like bullets,"Pre-owned dataset is not loaded. Please check preowned_master.csv path.
[PIPELINE=PREOWNED_RAG]",,0,True,95,10,,False,False,False,False
23,F) Preowned,pre1,mileage of preowned Veloz,PREOWNED_RAG,PREOWNED_RAG,True,semantic-preowned,compute mileage range,"Pre-owned dataset is not loaded. Please check preowned_master.csv path.
[PIPELINE=PREOWNED_RAG]",,0,True,95,10,,False,False,False,False
24,G) Guardrail,guard1,what is the 0-100 acceleration of Vios,SYSTEM,CSV_METHOD,False,guardrail,performance metric not in dataset -> refuse,"Thanks. I don’t have 'transmission' captured for Vios in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,235,8,refusal without asking clarifying info/next step,True,False,False,True
25,G) Guardrail,guard1,tell me the best car in cambodia overall,SYSTEM,SYSTEM,True,guardrail,ask criteria; no ranking,"Tell me a model name and what you want (price, specs, feature, compare, or recommend).
[PIPELINE=SYSTEM]",,0,False,104,10,,False,False,False,False
26,H) Official RAG,rag1,Explain Toyota Safety Sense on Corolla Cross in simple words,RAG,SYSTEM,False,semantic-official,retrieve explanation text + sources,"Which model are you asking about?
[PIPELINE=SYSTEM]",,0,False,51,7,no sources for an explanatory query,False,True,False,False
27,H) Official RAG,rag1,What colors are available for Raize?,RAG,CSV_METHOD,False,semantic-official,colors from KB + sources,"Thanks. I don’t have 'transmission' captured for Raize in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,238,8,refusal without asking clarifying info/next step,True,False,False,True
28,K) Bulk realistic,bulk2,how much is Raize,CSV_METHOD,CSV_METHOD,True,structured-price,price from CSV,"Sure — here are the official prices from our dataset:

Raize — Price (USD): $26,800
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,182,10,,False,False,True,True
29,K) Bulk realistic,bulk2,what is the transmission of Hilux Revo Rally,CSV_METHOD,CSV_METHOD,True,structured-feature,transmission from CSV,"Thanks. I don’t have 'transmission' captured for Hilux Revo Rally in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications,1,False,265,8,refusal without asking clarifying info/next step,True,False,False,True
30,K) Bulk realistic,bulk2,how many seats does COROLLA CROSS GASOLINE have,CSV_METHOD,CSV_METHOD,True,structured-feature,seats from CSV,"Thanks. I don’t have 'transmission' captured for COROLLA CROSS GASOLINE in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,1,False,291,8,refusal without asking clarifying info/next step,True,False,False,True
31,K) Bulk realistic,bulk3,What are the available colors for Fortuner Legender?,RAG,CSV_METHOD,False,semantic-official,colors from KB,"Thanks. I don’t have 'transmission' captured for Fortuner Legender in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,1,False,265,8,refusal without asking clarifying info/next step,True,False,False,True
32,K) Bulk realistic,bulk3,summary of Vios,CSV_METHOD,CSV_METHOD,True,structured-summary,summary from CSV,"Thanks. I don’t have a summary captured for Vios in the current dataset yet.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,173,8,refusal without asking clarifying info/next step,True,False,False,True
33,K) Bulk realistic,bulk3,ground clearance of Hiace 12-seater,CSV_METHOD,CSV_METHOD,True,structured-feature,ground clearance from CSV,"Thanks. I don’t have 'transmission' captured for Hiace 12-seater in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications,1,False,258,8,refusal without asking clarifying info/next step,True,False,True,True
34,K) Bulk realistic,bulk3,does Yaris Cross HEV have apple carplay,CSV_METHOD,CSV_METHOD,True,structured-feature,carplay yes/no from CSV,"Thanks. I don’t have 'apple_carplay' captured for Yaris Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,268,8,refusal without asking clarifying info/next step,True,False,False,True
35,K) Bulk realistic,bulk3,specs of Corolla Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-specs,specs from CSV,"Corolla Cross HEV — key specifications (official data):
- Price (USD): $49,900
- Seats: 5
- Fuel: hybrid
- Body type: SUV
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,1,False,237,10,,False,False,True,True
36,K) Bulk realistic,bulk3,What warranty does Veloz have in Cambodia?,RAG,CSV_METHOD,False,semantic-official,warranty from KB,"Thanks. I don’t have 'transmission' captured for Veloz in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,1,False,258,8,refusal without asking clarifying info/next step,True,False,False,True
37,K) Bulk realistic,bulk3,how many airbags does Raize have,CSV_METHOD,CSV_METHOD,True,structured-feature,airbags from CSV,"Thanks. I don’t have 'airbags' captured for Raize in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,233,8,refusal without asking clarifying info/next step,True,False,False,True
38,K) Bulk realistic,bulk3,how much is Hilux Revo Rally,CSV_METHOD,CSV_METHOD,True,structured-price,price from CSV,"Sure — here are the official prices from our dataset:

Hilux Revo Rally — Price (USD): $50,600
Sources: https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications,1,False,209,10,,False,False,True,True
39,K) Bulk realistic,bulk3,what is the transmission of COROLLA CROSS GASOLINE,CSV_METHOD,CSV_METHOD,True,structured-feature,transmission from CSV,"Thanks. I don’t have 'transmission' captured for COROLLA CROSS GASOLINE in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,1,False,291,8,refusal without asking clarifying info/next step,True,False,False,True
40,K) Bulk realistic,bulk3,how many seats does Fortuner Legender have,CSV_METHOD,CSV_METHOD,True,structured-feature,seats from CSV,"Thanks. I don’t have 'transmission' captured for Fortuner Legender in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,1,False,265,8,refusal without asking clarifying info/next step,True,False,False,True
41,K) Bulk realistic,bulk4,Explain the main safety features of Vios in simple words,RAG,CSV_METHOD,False,semantic-official,explain safety; should be agent-like,"Thanks. I don’t have 'transmission' captured for Vios in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,235,8,refusal without asking clarifying info/next step,True,False,False,True
42,K) Bulk realistic,bulk4,summary of Hiace 12-seater,CSV_METHOD,CSV_METHOD,True,structured-summary,summary from CSV,"Thanks. I don’t have a summary captured for Hiace 12-seater in the current dataset yet.
Sources: https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications,1,False,196,8,refusal without asking clarifying info/next step,True,False,True,True
43,K) Bulk realistic,bulk4,ground clearance of Yaris Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-feature,ground clearance from CSV,"Thanks. I don’t have 'ground_clearance' captured for Yaris Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,271,8,refusal without asking clarifying info/next step,True,False,False,True
44,K) Bulk realistic,bulk4,does Corolla Cross HEV have apple carplay,CSV_METHOD,CSV_METHOD,True,structured-feature,carplay yes/no from CSV,"Thanks. I don’t have 'apple_carplay' captured for Corolla Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,1,False,268,8,refusal without asking clarifying info/next step,True,False,False,True
45,K) Bulk realistic,bulk4,specs of Veloz,CSV_METHOD,CSV_METHOD,True,structured-specs,specs from CSV,"Veloz — key specifications (official data):
- Price (USD): $35,900
- Seats: 7
- Fuel: gasoline
- Body type: MVP
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,1,False,230,10,,False,False,True,True
46,K) Bulk realistic,bulk4,Explain the difference between trims/variants for Raize,RAG,SYSTEM,False,semantic-official,variant explanation from KB,"Tell me a model name and what you want (price, specs, feature, compare, or recommend).
[PIPELINE=SYSTEM]",,0,False,104,7,no sources for an explanatory query,False,False,False,False
47,K) Bulk realistic,bulk4,how many airbags does Hilux Revo Rally have,CSV_METHOD,CSV_METHOD,True,structured-feature,airbags from CSV,"Thanks. I don’t have 'airbags' captured for Hilux Revo Rally in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications,1,False,260,8,refusal without asking clarifying info/next step,True,False,False,True
48,K) Bulk realistic,bulk4,how much is COROLLA CROSS GASOLINE,CSV_METHOD,CSV_METHOD,True,structured-price,price from CSV,"Sure — here are the official prices from our dataset:

COROLLA CROSS GASOLINE — Price (USD): $47,900
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,1,False,235,10,,False,False,True,True
49,K) Bulk realistic,bulk4,what is the transmission of Fortuner Legender,CSV_METHOD,CSV_METHOD,True,structured-feature,transmission from CSV,"Thanks. I don’t have 'transmission' captured for Fortuner Legender in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,1,False,265,8,refusal without asking clarifying info/next step,True,False,False,True
50,K) Bulk realistic,bulk4,how many seats does Vios have,CSV_METHOD,CSV_METHOD,True,structured-feature,seats from CSV,"Thanks. I don’t have 'transmission' captured for Vios in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,235,8,refusal without asking clarifying info/next step,True,False,False,True
51,K) Bulk realistic,bulk5,What are the available colors for Hiace 12-seater?,RAG,CSV_METHOD,False,semantic-official,colors from KB,"Thanks. I don’t have 'transmission' captured for Hiace 12-seater in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications,1,False,258,8,refusal without asking clarifying info/next step,True,False,True,True
52,K) Bulk realistic,bulk5,summary of Yaris Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-summary,summary from CSV,"Thanks. I don’t have a summary captured for Yaris Cross HEV in the current dataset yet.
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,205,8,refusal without asking clarifying info/next step,True,False,False,True
53,K) Bulk realistic,bulk5,ground clearance of Corolla Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-feature,ground clearance from CSV,"Thanks. I don’t have 'ground_clearance' captured for Corolla Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,1,False,271,8,refusal without asking clarifying info/next step,True,False,False,True
54,K) Bulk realistic,bulk5,does Veloz have apple carplay,CSV_METHOD,CSV_METHOD,True,structured-feature,carplay yes/no from CSV,"Thanks. I don’t have 'apple_carplay' captured for Veloz in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,1,False,259,8,refusal without asking clarifying info/next step,True,False,False,True
55,K) Bulk realistic,bulk5,specs of Raize,CSV_METHOD,CSV_METHOD,True,structured-specs,specs from CSV,"Raize — key specifications (official data):
- Price (USD): $26,800
- Seats: 5
- Fuel: gasoline
- Body type: SUV
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,210,10,,False,False,True,True
56,K) Bulk realistic,bulk5,What warranty does Hilux Revo Rally have in Cambodia?,RAG,CSV_METHOD,False,semantic-official,warranty from KB,"Thanks. I don’t have 'transmission' captured for Hilux Revo Rally in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications,1,False,265,8,refusal without asking clarifying info/next step,True,False,False,True
57,K) Bulk realistic,bulk5,how many airbags does COROLLA CROSS GASOLINE have,CSV_METHOD,CSV_METHOD,True,structured-feature,airbags from CSV,"Thanks. I don’t have 'airbags' captured for COROLLA CROSS GASOLINE in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,1,False,286,8,refusal without asking clarifying info/next step,True,False,False,True
58,K) Bulk realistic,bulk5,how much is Fortuner Legender,CSV_METHOD,CSV_METHOD,True,structured-price,price from CSV,"Sure — here are the official prices from our dataset:

Fortuner Legender — Price (USD): $65,500
Sources: https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,1,False,209,10,,False,False,True,True
59,K) Bulk realistic,bulk5,what is the transmission of Vios,CSV_METHOD,CSV_METHOD,True,structured-feature,transmission from CSV,"Thanks. I don’t have 'transmission' captured for Vios in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/vios/vios.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,1,False,235,8,refusal without asking clarifying info/next step,True,False,False,True
60,K) Bulk realistic,bulk5,how many seats does Hiace 12-seater have,CSV_METHOD,CSV_METHOD,True,structured-feature,seats from CSV,"Thanks. I don’t have 'transmission' captured for Hiace 12-seater in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/hiace/hiace-12-seater.html#specifications,1,False,258,8,refusal without asking clarifying info/next step,True,False,True,True
61,K) Bulk realistic,bulk6,Explain the main safety features of Yaris Cross HEV in simple words,RAG,CSV_METHOD,False,semantic-official,explain safety; should be agent-like,"Thanks. I don’t have 'transmission' captured for Yaris Cross HEV in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,1,False,267,8,refusal without asking clarifying info/next step,True,False,False,True
62,K) Bulk realistic,bulk6,summary of Corolla Cross HEV,CSV_METHOD,CSV_METHOD,True,structured-summary,summary from CSV,"Thanks. I don’t have a summary captured for Corolla Cross HEV in the current dataset yet.
Sources: https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,1,False,205,8,refusal without asking clarifying info/next step,True,False,False,True
63,K) Bulk realistic,bulk6,ground clearance of Veloz,CSV_METHOD,CSV_METHOD,True,structured-feature,ground clearance from CSV,"Thanks. I don’t have 'ground_clearance' captured for Veloz in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,1,False,262,8,refusal without asking clarifying info/next step,True,False,False,True
64,K) Bulk realistic,bulk6,does Raize have apple carplay,CSV_METHOD,CSV_METHOD,True,structured-feature,carplay yes/no from CSV,"Thanks. I don’t have 'apple_carplay' captured for Raize in the current dataset yet.
If you want, I can share the official page link we used.
Sources: https://www.toyota.com.kh/en/models/raize/raize.html#specifications
[PIPELINE=CSV_METHOD]",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,1,False,239,8,refusal without asking clarifying info/next step,True,False,False,True
