id,question,expected_pipeline,actual_pipeline,ok,answer,sources
T039,periodic maintenance schedule,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T040,what is service a service b service c,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T041,service a price,RAG,SYSTEM,False,Which Toyota model price do you want?,
T042,service b price,RAG,SYSTEM,False,Which Toyota model price do you want?,
T043,service c price,RAG,SYSTEM,False,Which Toyota model price do you want?,
T044,service d price,RAG,SYSTEM,False,Which Toyota model price do you want?,
T045,what included in service a 5000 km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T046,what included in service b 10000 km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T047,what included in service c 20000 km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T048,what included in service d 40000 km,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T049,servicing coupon 1 year benefit,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T050,servicing coupon 2 years discount,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T051,servicing coupon 3 years discount,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T052,can i buy servicing package after purchase,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T053,servicing package membership discount,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T054,do you have free service package,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T055,maintenance and repair page info,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T056,toyota cambodia workshop services,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T057,body and paint service available,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T058,general repair service,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T059,hybrid repair service support,RAG,SYSTEM,False,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",
T060,what maintenance does toyota recommend,RAG,CSV_METHOD,False,Sure. Tell me your budget (USD). Example: budget 40000,
T061,why service every 5000 km,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T062,how to book service appointment,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T063,service center contact,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T064,service center location,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T065,toyota cambodia branches,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T066,where is toyota cambodia main branch,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T067,toyota cambodia dealer is who,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T068,toyota cambodia is official distributor,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T069,company profile toyota cambodia,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T070,toyota cambodia history,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T071,toyota cambodia mission and vision,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T072,what is toyota plus,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T073,toyota cambodia aftersales support,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T074,genuine parts policy,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T075,toyota genuine parts warranty,RAG,CSV_METHOD,False,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T076,price of corolla cross,CSV_METHOD,CSV_METHOD,True,"The **COROLLA CROSS GASOLINE** is priced at **$47,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T077,how much is corolla cross,CSV_METHOD,CSV_METHOD,True,"The **COROLLA CROSS GASOLINE** is priced at **$47,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T078,starting price corolla cross,CSV_METHOD,CSV_METHOD,True,"The **COROLLA CROSS GASOLINE** is priced at **$47,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T079,price of yaris cross,CSV_METHOD,CSV_METHOD,True,"The **Yaris Cross HEV** is priced at **$43,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T080,how much is yaris cross,CSV_METHOD,CSV_METHOD,True,"The **Yaris Cross HEV** is priced at **$43,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T081,price fortuner,CSV_METHOD,CSV_METHOD,True,"The **Fortuner Legender** is priced at **$65,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T082,fortuner price,CSV_METHOD,CSV_METHOD,True,"The **Fortuner Legender** is priced at **$65,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T083,price hilux revo,CSV_METHOD,CSV_METHOD,True,"The **Hilux Revo Rally** is priced at **$50,600** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
T084,hilux revo price,CSV_METHOD,CSV_METHOD,True,"The **Hilux Revo Rally** is priced at **$50,600** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
T085,vios price,CSV_METHOD,CSV_METHOD,True,"The **Vios** is priced at **$33,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T086,veloZ price,CSV_METHOD,CSV_METHOD,True,"The **Veloz** is priced at **$35,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
T087,specs corolla cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **COROLLA CROSS GASOLINE**:

**Price:** $47,900
**Seats:** 5.0
**Fuel:** Gasoline
**Body type:** SUV
**Transmission:** 7-speed CVT
**Engine:** 1.8 L, 4-cylinder gasoline, in-line, 16-valve DOHC, Dual VVT-i",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T088,spec of corolla cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **COROLLA CROSS GASOLINE**:

**Price:** $47,900
**Seats:** 5.0
**Fuel:** Gasoline
**Body type:** SUV
**Transmission:** 7-speed CVT
**Engine:** 1.8 L, 4-cylinder gasoline, in-line, 16-valve DOHC, Dual VVT-i",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T089,specs yaris cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Yaris Cross HEV**:

**Price:** $43,500
**Seats:** N/A
**Fuel:** Hybrid
**Body type:** SUV
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHV Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T090,spec yaris cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Yaris Cross HEV**:

**Price:** $43,500
**Seats:** N/A
**Fuel:** Hybrid
**Body type:** SUV
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHV Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T091,specs fortuner,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Fortuner Legender**:

**Price:** $65,500
**Seats:** 7.0
**Fuel:** Diesel
**Body type:** SUV
**Transmission:** 6-speed automatic
**Engine:** 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T092,summary corolla cross,CSV_METHOD,CSV_METHOD,True,"Sure! Here's a quick overview of the **COROLLA CROSS GASOLINE**:

The COROLLA CROSS GASOLINE is a Gasoline-powered SUV priced at **$47,900**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T093,summary fortuner,CSV_METHOD,CSV_METHOD,True,"Sure! Here's a quick overview of the **Fortuner Legender**:

The Fortuner Legender is a Diesel-powered SUV priced at **$65,500**. It seats up to **7.0 passengers** and comes with a **6-speed automatic** transmission.",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T094,tell me about vios summary,CSV_METHOD,CSV_METHOD,True,"Sure! Here's a quick overview of the **Vios**:

The Vios is a Gasoline-powered Sedan priced at **$33,900**. It seats up to **5.0 passengers** and comes with a **CVT** transmission.",https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T095,compare veloz vs vios,CSV_METHOD,CSV_METHOD,True,"Here’s a quick comparison (official dataset): Veloz vs Vios
- Price: $35,900 vs $33,900
- Seats: 7.0 vs 5.0
- Fuel: gasoline vs gasoline
- Body type: MVP vs Sedan
- Transmission: CVT vs N/A","https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications, https://www.toyota.com.kh/en/models/vios/vios.html#specifications"
T096,compare corolla cross vs yaris cross,CSV_METHOD,CSV_METHOD,True,"Here’s a quick comparison (official dataset): COROLLA CROSS GASOLINE vs Yaris Cross HEV
- Price: $47,900 vs $43,500
- Seats: 5.0 vs N/A
- Fuel: gasoline vs hybrid
- Body type: SUV vs SUV
- Transmission: N/A vs CVT","https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications, https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color"
T097,which better fortuner or corolla cross,CSV_METHOD,CSV_METHOD,True,"Here’s a quick comparison (official dataset): COROLLA CROSS GASOLINE vs Fortuner Legender
- Price: $47,900 vs $65,500
- Seats: 5.0 vs 7.0
- Fuel: gasoline vs diesel
- Body type: SUV vs SUV
- Transmission: N/A vs N/A","https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications, https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications"
T098,difference between hilux revo and revo rocco,CSV_METHOD,CSV_METHOD,True,I couldn't find 'Hilux Revo Rocco' in the dataset.,
T099,does veloz have apple carplay,CSV_METHOD,CSV_METHOD,True,Thanks. I don’t have that feature captured in the current dataset yet.,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
T100,does corolla cross have 360 camera,CSV_METHOD,CSV_METHOD,True,Yes. The **COROLLA CROSS GASOLINE** includes **360° Panoramic View Monitor**.,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T101,does yaris cross have 6 airbags,CSV_METHOD,CSV_METHOD,True,"The **Yaris Cross HEV** has **SRS airbags**: **6 (1 driver, 1 front passenger, 2 side, 2 curtain shield)**.",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T102,does fortuner have cruise control,CSV_METHOD,CSV_METHOD,True,Yes. The **Fortuner Legender** includes **Cruise control**.,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T103,does vios have reverse camera,CSV_METHOD,CSV_METHOD,True,Yes. The **Vios** includes **Reverse camera**.,https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T104,recommend suv under 40000,CSV_METHOD,CSV_METHOD,True,What fuel do you prefer? (Gasoline / Diesel / Hybrid / EV),
T105,recommend toyota under 35000 gasoline,CSV_METHOD,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Raize
   $26,800 | 5.0 seats | Gasoline | SUV

Reply with a listing number (1–10) or model name to see more details.",https://www.toyota.com.kh/en/models/raize/raize.html#specifications
T106,i want suv budget 45000 hybrid,CSV_METHOD,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Yaris Cross HEV
   $43,500 | N/A seats | Hybrid | SUV

Reply with a listing number (1–10) or model name to see more details.",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T107,suggest me a family car under 30000,CSV_METHOD,CSV_METHOD,True,What body type do you want? (SUV / Sedan / Pickup / MPV / Bus),
T108,recommend 7 seater suv under 60000,CSV_METHOD,CSV_METHOD,True,What fuel do you prefer? (Gasoline / Diesel / Hybrid / EV),
T109,budget 40000,CSV_METHOD,CSV_METHOD,True,What fuel do you prefer? (Gasoline / Diesel / Hybrid / EV),
T110,i want suv,CSV_METHOD,CSV_METHOD,True,What fuel do you prefer? (Gasoline / Diesel / Hybrid / EV),
T111,gasoline,CSV_METHOD,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Raize
   $26,800 | 5.0 seats | Gasoline | SUV
2. YARIS CROSS GASOLINE
   $37,500 | N/A seats | Gasoline | SUV

Reply with a listing number (1–10) or model name to see more details.

(These may not fully meet your seat requirement.)","https://www.toyota.com.kh/en/models/raize/raize.html#specifications, https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications"
T112,pre owned fortuner,PREOWNED_RAG,PREOWNED_RAG,True,"I found **6 pre-owned listings**:

Overview: Price $51,900–$67,200 | Year 2022–2025 | Mileage 3,826–113,705 km

1. Fortuner Modelista PP (2025)
   Price: $67,200 | Plate: PP-2CD-5472 | Mileage: 3,826 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

2. Fortuner Legender CAM (2025)
   Price: $63,300 | Plate: RY-M-520 | Mileage: 4,233 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

3. Fortuner Legender PP (2023)
   Price: $57,900 | Plate: PP-2BT-1571 | Mileage: 43,508 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

4. Fortuner Legender PP (2022)
   Price: $55,900 | Plate: PP-2BQ-9255 | Mileage: 89,771 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

5. Fortuner Legender CAM (2022)
   Price: $54,900 | Plate: CAM-AYA-6336 | Mileage: 94,770 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

6. Fortuner Legender PP (2022)
   Price: $51,900 | Plate: PP-2BQ-6886 | Mileage: 113,705 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

Reply with a listing number (1–10) or plate number to see more details.","https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html"
T113,used corolla cross,PREOWNED_RAG,PREOWNED_RAG,True,"I found **10 pre-owned listings**:

Overview: Price $31,900–$44,900 | Year 2021–2025 | Mileage 2,560–75,676 km

1. Toyota Yaris Cross PP (2025)
   Price: $34,900 | Plate: PP-2CD-0284 | Mileage: 4,310 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

2. Toyota Yaris Cross PP (2025)
   Price: $34,500 | Plate: PP-2CA-0914 | Mileage: 11,515 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

3. Toyota Corolla Cross Hybrid PP 2CI (2024)
   Price: $44,900 | Plate: PP-2CI-0199 | Mileage: 2,560 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

4. Toyota Corolla Cross PP 2BY (2024)
   Price: $43,300 | Plate: PP-2BY-0075 | Mileage: 8,175 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

5. Toyota Corolla Cross PP 2CB (2024)
   Price: $42,900 | Plate: PP-2CB-1838 | Mileage: 27,655 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

6. Toyota Corolla Cross PP 2BV (2023)
   Price: $36,900 | Plate: PP-2BV-7221 | Mileage: 25,985 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

7. Toyota Corolla Cross PP 2BS (2023)
   Price: $36,300 | Plate: PP-2BS-5711 | Mileage: 39,640 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

8. Toyota Corolla Cross PP 2BQ (2022)
   Price: $34,900 | Plate: PP-2BQ-1429 | Mileage: 64,126 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

9. Toyota Corolla Cross PP 2BP (2022)
   Price: $34,900 | Plate: PP-2BP-7744 | Mileage: 75,676 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

10. Toyota Corolla Cross PP 2BO (2021)
   Price: $31,900 | Plate: PP-2BO-3110 | Mileage: 49,807 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

Reply with a listing number (1–10) or plate number to see more details.","https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CD-0284.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CA-0914.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BY-0075.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2CB-1838.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BV-7221.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BS-5711.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BQ-1429.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BP-7744.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BO-3110.html"
T114,toyota certified pre owned,PREOWNED_RAG,PREOWNED_RAG,True,"I found **10 pre-owned listings**:

Overview: Price $30,900–$67,200 | Year 2024–2025 | Mileage 2,560–15,512 km

1. Fortuner Modelista PP (2025)
   Price: $67,200 | Plate: PP-2CD-5472 | Mileage: 3,826 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

2. Fortuner Legender CAM (2025)
   Price: $63,300 | Plate: RY-M-520 | Mileage: 4,233 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: SUV

3. Toyota Yaris Cross PP (2025)
   Price: $34,900 | Plate: PP-2CD-0284 | Mileage: 4,310 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

4. Toyota Veloz PP (2025)
   Price: $32,900 | Plate: PP-2CB-7465 | Mileage: 7,791 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: MPV

5. Toyota Veloz PP (2025)
   Price: $33,300 | Plate: PP-2CD-1304 | Mileage: 8,324 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: MPV

6. Toyota Yaris Cross PP (2025)
   Price: $34,500 | Plate: PP-2CA-0914 | Mileage: 11,515 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

7. Toyota Veloz PP (2025)
   Price: $33,200 | Plate: PP-2CB-8620 | Mileage: 13,435 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: MPV

8. Toyota Corolla Cross Hybrid PP 2CI (2024)
   Price: $44,900 | Plate: PP-2CI-0199 | Mileage: 2,560 km
   Fuel: gasoline | Transmission: 7-speed CVT | Body: SUV

9. Toyota Corolla Cross PP 2BY (2024)
   Price: $43,300 | Plate: PP-2BY-0075 | Mileage: 8,175 km
   Fuel: gasoline | Transmission: 7-Speed Automatic | Body: SUV

10. Toyota Veloz PP (2024)
   Price: $30,900 | Plate: PP-2BY-0425 | Mileage: 15,512 km
   Fuel: gasoline | Transmission: 6-speed Automatic | Body: MPV

Reply with a listing number (1–10) or plate number to see more details.","https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CD-0284.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CA-0914.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-8620.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BY-0075.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html"
